,round,source,volume,time
0,1,READOUT WASH,2,9
1,1,IMAGING BUFFER,2,6
2,1,RUN,5,5
3,2,CLEAVE,3,15
4,2,PAUSE,5,15
5,2,SSC,2,4
6,2,B02,2,5
7,2,B02,2,6
8,2,PAUSE,5,15
9,2,READOUT WASH,2,9
10,2,IMAGING BUFFER,2,6
11,2,RUN,5,5
12,3,CLEAVE,3,15
13,3,PAUSE,5,15
14,3,SSC,2,4
15,3,B03,2,5
16,3,B03,2,6
17,3,PAUSE,5,15
18,3,READOUT WASH,2,9
19,3,IMAGING BUFFER,2,6
20,3,RUN,5,5
21,4,CLEAVE,3,15
22,4,PAUSE,5,15
23,4,SSC,2,4
24,4,B04,2,5
25,4,B04,2,6
26,4,PAUSE,5,15
27,4,READOUT WASH,2,9
28,4,IMAGING BUFFER,2,6
29,4,RUN,5,5
30,5,CLEAVE,3,15
31,5,PAUSE,5,15
32,5,SSC,2,4
33,5,B05,2,5
34,5,B05,2,6
35,5,PAUSE,5,15
36,5,READOUT WASH,2,9
37,5,IMAGING BUFFER,2,6
38,5,RUN,5,5
39,6,CLEAVE,3,15
40,6,PAUSE,5,15
41,6,SSC,2,4
42,6,B06,2,5
43,6,B06,2,6
44,6,PAUSE,5,15
45,6,READOUT WASH,2,9
46,6,IMAGING BUFFER,2,6
47,6,RUN,5,5
48,7,CLEAVE,3,15
49,7,PAUSE,5,15
50,7,SSC,2,4
51,7,B07,2,5
52,7,B07,2,6
53,7,PAUSE,5,15
54,7,READOUT WASH,2,9
55,7,IMAGING BUFFER,2,6
56,7,RUN,5,5
57,8,SSC,2,4
58,8,B08,2,5
59,8,B08,2,6
60,8,PAUSE,5,15
61,8,SSC,2,4
62,8,IMAGING BUFFER,2,6
63,8,RUN,5,5
