,round,source,volume,time
0,2,CLEAVE,3,15
1,2,PAUSE,5,15
2,2,SSC,2,4
3,2,B02,2,5
4,2,B02,2,6
5,2,PAUSE,5,15
6,2,READOUT WASH,2,9
7,2,IMAGING BUFFER,2,6
8,2,RUN,5,5
9,3,CLEAVE,3,15
10,3,PAUSE,5,15
11,3,SSC,2,4
12,3,B03,2,5
13,3,B03,2,6
14,3,PAUSE,5,15
15,3,READOUT WASH,2,9
16,3,IMAGING BUFFER,2,6
17,3,RUN,5,5
18,4,CLEAVE,3,15
19,4,PAUSE,5,15
20,4,SSC,2,4
21,4,B04,2,5
22,4,B04,2,6
23,4,PAUSE,5,15
24,4,READOUT WASH,2,9
25,4,IMAGING BUFFER,2,6
26,4,RUN,5,5
27,5,CLEAVE,3,15
28,5,PAUSE,5,15
29,5,SSC,2,4
30,5,B05,2,5
31,5,B05,2,6
32,5,PAUSE,5,15
33,5,READOUT WASH,2,9
34,5,IMAGING BUFFER,2,6
35,5,RUN,5,5
36,6,CLEAVE,3,15
37,6,PAUSE,5,15
38,6,SSC,2,4
39,6,B06,2,5
40,6,B06,2,6
41,6,PAUSE,5,15
42,6,READOUT WASH,2,9
43,6,IMAGING BUFFER,2,6
44,6,RUN,5,5
45,7,CLEAVE,3,15
46,7,PAUSE,5,15
47,7,SSC,2,4
48,7,B07,2,5
49,7,B07,2,6
50,7,PAUSE,5,15
51,7,READOUT WASH,2,9
52,7,IMAGING BUFFER,2,6
53,7,RUN,5,5
54,8,SSC,2,4
55,8,B08,2,5
56,8,B08,2,6
57,8,PAUSE,5,15
58,8,SSC,2,4
59,8,IMAGING BUFFER,2,6
60,8,RUN,5,5
