,round,source,volume,time
0,1,SSC,2,4
1,1,B01,2,5
2,1,B01,2,6
3,1,PAUSE,5,15
4,1,READOUT WASH,2,9
5,1,IMAGING BUFFER,2,6
6,1,RUN,5,5
7,2,CLEAVE,3,15
8,2,PAUSE,5,15
9,2,SSC,2,4
10,2,B02,2,5
11,2,B02,2,6
12,2,PAUSE,5,15
13,2,READOUT WASH,2,9
14,2,IMAGING BUFFER,2,6
15,2,RUN,5,5
16,3,CLEAVE,3,15
17,3,PAUSE,5,15
18,3,SSC,2,4
19,3,B03,2,5
20,3,B03,2,6
21,3,PAUSE,5,15
22,3,READOUT WASH,2,9
23,3,IMAGING BUFFER,2,6
24,3,RUN,5,5
25,4,CLEAVE,3,15
26,4,PAUSE,5,15
27,4,SSC,2,4
28,4,B04,2,5
29,4,B04,2,6
30,4,PAUSE,5,15
31,4,READOUT WASH,2,9
32,4,IMAGING BUFFER,2,6
33,4,RUN,5,5
34,5,CLEAVE,3,15
35,5,PAUSE,5,15
36,5,SSC,2,4
37,5,B05,2,5
38,5,B05,2,6
39,5,PAUSE,5,15
40,5,READOUT WASH,2,9
41,5,IMAGING BUFFER,2,6
42,5,RUN,5,5
43,6,CLEAVE,3,15
44,6,PAUSE,5,15
45,6,SSC,2,4
46,6,B06,2,5
47,6,B06,2,6
48,6,PAUSE,5,15
49,6,READOUT WASH,2,9
50,6,IMAGING BUFFER,2,6
51,6,RUN,5,5
52,7,CLEAVE,3,15
53,7,PAUSE,5,15
54,7,SSC,2,4
55,7,B07,2,5
56,7,B07,2,6
57,7,PAUSE,5,15
58,7,READOUT WASH,2,9
59,7,IMAGING BUFFER,2,6
60,7,RUN,5,5
61,8,CLEAVE,3,15
62,8,PAUSE,5,15
63,8,SSC,2,4
64,8,B10,2,5
65,8,B10,2,6
66,8,PAUSE,5,15
67,8,READOUT WASH,2,9
68,8,IMAGING BUFFER,2,6
69,8,RUN,5,5
70,9,SSC,2,4
71,9,B09,2,5
72,9,B09,2,6
73,9,PAUSE,5,15
74,9,SSC,2,4
75,9,IMAGING BUFFER,2,6
76,9,RUN,5,5
