,round,source,volume,time
0,3,RUN,5,5
1,4,CLEAVE,3,15
2,4,PAUSE,5,15
3,4,SSC,2,4
4,4,B04,2,5
5,4,B04,2,6
6,4,PAUSE,5,15
7,4,READOUT WASH,2,9
8,4,IMAGING BUFFER,2,6
9,4,RUN,5,5
10,5,CLEAVE,3,15
11,5,PAUSE,5,15
12,5,SSC,2,4
13,5,B05,2,5
14,5,B05,2,6
15,5,PAUSE,5,15
16,5,READOUT WASH,2,9
17,5,IMAGING BUFFER,2,6
18,5,RUN,5,5
19,6,CLEAVE,3,15
20,6,PAUSE,5,15
21,6,SSC,2,4
22,6,B06,2,5
23,6,B06,2,6
24,6,PAUSE,5,15
25,6,READOUT WASH,2,9
26,6,IMAGING BUFFER,2,6
27,6,RUN,5,5
28,7,CLEAVE,3,15
29,7,PAUSE,5,15
30,7,SSC,2,4
31,7,B07,2,5
32,7,B07,2,6
33,7,PAUSE,5,15
34,7,READOUT WASH,2,9
35,7,IMAGING BUFFER,2,6
36,7,RUN,5,5
37,8,CLEAVE,3,15
38,8,PAUSE,5,15
39,8,SSC,2,4
40,8,B10,2,5
41,8,B10,2,6
42,8,PAUSE,5,15
43,8,READOUT WASH,2,9
44,8,IMAGING BUFFER,2,6
45,8,RUN,5,5
46,9,SSC,2,4
47,9,B09,2,5
48,9,B09,2,6
49,9,PAUSE,5,15
50,9,SSC,2,4
51,9,IMAGING BUFFER,2,6
52,9,RUN,5,5
