Intensity (Arbitrary Unity)
Acquisition 	2020/10/14 14:47:42.084
Save 	2020/10/14 21:54:17.685

ASO Size : 40 x 32; ASO Step : 114.077560 um x 114.052567 um
Area Size : 160 x 128; Area Step : 28.519390 um x 28.513142 um
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																															0.295704	0.310990	0.325878	0.337807	0.348362	0.357991	0.366681	0.374677	0.382867	0.389822	0.393781	0.392711	0.385432	0.375551																																																																			
																																																																											0.385847	0.388026	0.393001	0.398576	0.407854	0.418893	0.428722	0.434798	0.438158	0.439962	0.441105	0.442384	0.443602	0.444225	0.443754	0.441747	0.438314	0.433751	0.428330	0.422182	0.414856	0.406822																																																															
																																																																							0.525924	0.512829	0.499439	0.495268	0.494748	0.495788	0.497902	0.501031	0.506573	0.512723	0.517172	0.517846	0.515226	0.510745	0.505748	0.501222	0.496115	0.490844	0.486163	0.483119	0.482827	0.482753	0.479915	0.471303	0.456388	0.438885	0.422829	0.412648	0.410274	0.408703																																																											
																																																																				0.466480	0.517453	0.544312	0.551498	0.548601	0.544278	0.545612	0.548442	0.551233	0.553647	0.555535	0.557494	0.558877	0.558827	0.556539	0.552064	0.546139	0.539516	0.532553	0.524002	0.515168	0.507795	0.503930	0.504879	0.506853	0.505502	0.496572	0.479775	0.459749	0.441421	0.430019	0.427278	0.425657	0.416759	0.391673	0.347435																																																								
																																																																		0.417226	0.454313	0.496694	0.532677	0.551734	0.556176	0.553451	0.550624	0.553822	0.560831	0.568477	0.574121	0.575352	0.572572	0.567657	0.562437	0.558563	0.555671	0.552595	0.548233	0.541266	0.530806	0.519355	0.509793	0.505097	0.506015	0.508572	0.508395	0.501407	0.488005	0.471735	0.456181	0.445147	0.439918	0.434976	0.424173	0.400766	0.361839	0.318024	0.281304																																																						
																																																																0.457628	0.478802	0.494874	0.513485	0.532524	0.547458	0.553715	0.550507	0.543457	0.538673	0.541977	0.553249	0.566827	0.576838	0.577804	0.570236	0.558930	0.548736	0.544083	0.544216	0.545713	0.545228	0.539480	0.528207	0.515039	0.503845	0.498295	0.498267	0.500253	0.500632	0.496277	0.488360	0.478446	0.467808	0.457881	0.449395	0.439942	0.426789	0.406515	0.376375	0.343450	0.315965	0.301220	0.297219																																																				
																																																														0.498809	0.508172	0.531067	0.552863	0.561490	0.563634	0.562450	0.559201	0.554134	0.543963	0.532822	0.526024	0.529126	0.543724	0.562133	0.575851	0.576932	0.566073	0.550291	0.536697	0.531798	0.534531	0.539806	0.542638	0.538352	0.527309	0.513703	0.501798	0.495428	0.493720	0.494005	0.493766	0.491064	0.487532	0.482932	0.476519	0.467654	0.456592	0.443632	0.429013	0.412269	0.391025	0.368913	0.350444	0.339686	0.335767	0.335781	0.336965																																																		
																																																													0.568863	0.552132	0.559088	0.575982	0.590564	0.592408	0.586016	0.575811	0.565037	0.555708	0.544073	0.533120	0.527105	0.530811	0.546651	0.566625	0.581655	0.583263	0.572212	0.555963	0.542070	0.537419	0.540796	0.546934	0.550702	0.547411	0.537837	0.525634	0.514381	0.507176	0.502881	0.499916	0.496976	0.493194	0.489876	0.486149	0.480703	0.472295	0.460969	0.447909	0.434338	0.420951	0.406105	0.391296	0.378584	0.369831	0.364650	0.361696	0.359681	0.358054	0.359161																																																
																																																											0.646804	0.630385	0.615037	0.606900	0.603913	0.602684	0.600300	0.594125	0.584684	0.573914	0.563669	0.555017	0.545518	0.537358	0.533563	0.537714	0.552140	0.570155	0.584073	0.586759	0.579017	0.566909	0.556520	0.553361	0.556343	0.561407	0.564645	0.562660	0.556627	0.548378	0.539461	0.531049	0.522064	0.512772	0.503776	0.495644	0.488342	0.481349	0.474130	0.466219	0.457771	0.449046	0.440268	0.431583	0.422760	0.413960	0.405423	0.397236	0.388913	0.381014	0.374272	0.369769	0.368805	0.368565	0.365714																																														
																																																										0.585876	0.605990	0.635045	0.657371	0.658934	0.643117	0.619442	0.596821	0.582644	0.572978	0.565676	0.559694	0.553903	0.547861	0.543286	0.542108	0.546718	0.558984	0.574025	0.586178	0.590277	0.587207	0.580956	0.575410	0.574027	0.575882	0.578751	0.580595	0.579899	0.578174	0.574920	0.569153	0.559687	0.545678	0.529438	0.513634	0.500353	0.487975	0.476574	0.466717	0.459043	0.453878	0.450149	0.446637	0.442545	0.439146	0.435540	0.430401	0.422246	0.410350	0.397163	0.385463	0.377979	0.374943	0.373316	0.369860	0.361606	0.349019																																												
